scene_num,pred_frame_num
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
3,1
3,2
3,3
3,4
3,5
3,6
3,7
3,8
3,9
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,31
3,32
3,33
3,34
3,35
3,36
3,37
3,38
3,39
3,41
3,42
3,43
3,44
3,45
3,46
3,47
3,48
3,49
4,1
4,2
4,3
4,4
4,5
4,6
4,7
4,8
4,9
4,11
4,12
4,13
4,14
4,15
4,16
4,17
4,18
4,19
4,21
4,22
4,23
4,24
4,25
4,26
4,27
4,28
4,29
4,31
4,32
4,33
4,34
4,35
4,36
4,37
4,38
4,39
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
4,49
6,1
6,2
6,3
6,4
6,5
6,6
6,7
6,8
6,9
6,11
6,12
6,13
6,14
6,15
6,16
6,17
6,18
6,19
6,21
6,22
6,23
6,24
6,25
6,26
6,27
6,28
6,29
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,39
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
6,49
